FACLID21	JURDID	STATE	COUNTY	FACLNAME	CITY	ZIPP	STRATUMNEW	WEIGHT	CONFPOP	CONFPOPF	NCONPOP	NCONPOPF	TOTPOP	TOTPOPF	NONCITZ	NONCITZF	WEEK	WEEKN	WEEKF	ADULTM	ADULTMF	ADULTF	ADULTFF	JUVM	JUVMF	JUVF	JUVFF	TOTGENDER	TOTGENDERF	ADLTJUV	ADLTJUVF	CONV	CONVF	CONVUNSENT	CONVUNSENTF	CONVSENT	CONVSENTF	UNCONV	UNCONVF	UNCONVTRIAL	UNCONVTRIALF	UNCONVHOLD	UNCONVHOLDF	UNCONVOTHER	UNCONVOTHERF	S2QII3C	S2QII3CF	WHITE	WHITEF	BLACK	BLACKF	HISP	HISPF	AIAN	AIANF	ASIAN	ASIANF	NHOPI	NHOPIF	TWORACE	TWORACEF	OTHERRACESPEC	OTHERRACE	OTHERRACEF	RACEDK	RACEDKF	RACETOTAL	RACETOTALF	MARSHALS	MARSHALSF	BOP	BOPF	ICE	ICEF	BIA	BIAF	S2QII5A5SPEC	S2QII5A5	S2QII5A5F	INSTATEPRIS	INSTATEPRISF	OUTSTATEPRIS	OUTSTATEPRISF	INSTATEJAIL	INSTATEJAILF	OUTSTATEJAIL	OUTSTATEJAILF	S2QII5D	S2QII5DF	PEAKDATE	PEAKPOP	PEAKPOPF	ADP	ADPF	RATED	RATEDF	OPERATION	OPERATIONF	DESIGN	DESIGNF	ADMIS	ADMISF	RELEASE	RELEASEF	CONVII10A	CONVII10AF	UNCONVII10A	UNCONVII10AF	CONVII10B	CONVII10BF	UNCONVII10B	UNCONVII10BF	CONVII10C	CONVII10CF	UNCONVII10C	UNCONVII10CF	CONVII10D	CONVII10DF	UNCONVII10D	UNCONVII10DF	CONVII10E	CONVII10EF	UNCONVII10E	UNCONVII10EF	CONVII10F	CONVFII10F	UNCONVII10F	UNCONVII10FF	S2II10GCONV	S2II10GCONVF	S2II10GFUNCONV	S2II10GFUNCONVF	EMONITOR	EMONITORF	HOMEDETN	HOMEDETNF	COMMSRV	COMMSRVF	DAYREPORT	DAYREPORTF	PRETRIAL	PRETRIALF	ALTWORK	ALTWORKF	TREATMENT	TREATMENTF	OTRNONCONFS	OTRNONCONF	OTRNONCONFF	NONCONFD	NONCONFDF	ADMLNCNF	ADMLNCNFF	ADFMNCNF	ADFMNCNFF	JVMLNCNF	JVMLNCNFF	JVFMNCNF	JVFMNCNFF	NCNFGNDR	NCNFGNDRF	CONVNCNF	CONVNCNFF	UNCNVNCF	UNCNVNCFF	TOTCNVST	TOTCNVSTF	CORRSTAFF	CORRSTAFFF	OTHERSTAFF	OTHERSTAFFF	S4QIV1C	S4QIV1CF	ASSAULTSTAFFYN	ASSAULTCORR	ASSAULTCORRF	ASSAULTOTRSTAFF	ASSAULTOTRSTAFFF	DEATHSTAFFYN	DEATHCORR	DEATHCORRF	DEATHOTRSTAFF	DEATHOTRSTAFFF	PHYSASSAULT	PHYSASSAULTF	DRUGVIO	DRUGVIOF	ALCOVIO	ALCOVIOF	WEAPON	WEAPONF	STOLENPROP	STOLENPROPF	ESCAPE	ESCAPEF	OTHERMAJVIO	OTHERMAJVIOF	NCONPOP2	BJSW
101006006060000004900	101006006	FL	BROWARD COUNTY	BROWARD COUNTY	FORT LAUDERDALE	33301	1	1	4614	0	3484	0	8098	0	805	1	1	6	0	4091	0	495	0	28	0	0	0	4614	0	28	0	867	0	0	9	867	0	3747	0	3747	0	0	9	0	9	4614	0	1762	1	2676	1	143	1	8	1	15	1	0	1	0	0	 	0	0	10	1	4614	0	120	0	0	0	4	1	0	0	 	0	0	0	0	0	0	0	0	9	1	133	0	14	4665	0	4632	0	5144	0	4650	0	5144	0	909	0	945	1	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	677	0	0	0	0	0	851	0	1222	0	0	0	734	0	 	0	0	3484	0	0	9	0	9	0	9	0	9	3484	0	0	9	0	9	3484	0	1124	0	692	0	1816	0	-9	0	0	0	0	-9	0	0	0	0	675	0	21	0	1	0	4	0	31	0	0	0	4	0	3490	1.0695652
051030030060000002300	051030030	CA	ORANGE COUNTY	ORANGE COUNTY	SANTA ANA	92705	1.1	1	6924	0	613	0	7537	0	1439	1	1	2	0	5926	0	998	0	0	0	0	0	6924	0	0	0	3397	0	0	9	0	9	3527	0	0	9	0	9	0	9	6924	0	2631	1	422	1	3372	1	35	1	215	1	0	8	0	8	Other	249	1	0	8	6924	0	2	0	0	0	532	0	0	0	 	0	0	79	1	0	0	0	0	0	0	613	0	16	6939	0	6804	0	5094	0	7308	0	5094	0	1269	0	1260	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	165	0	0	0	0	0	0	0	0	0	448	0	0	0	 	0	0	613	0	457	0	156	0	0	0	0	0	613	0	613	0	0	0	613	0	0	9	0	9	0	9	1	29	0	0	0	-9	0	0	0	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	615	1
441220220060000015600	441220220	TX	TARRANT COUNTY	TARRANT COUNTY	FT. WORTH	76102	1	1	3399	0	0	0	3399	0	0	9	1	267	0	2830	0	539	0	30	0	0	0	3399	0	30	0	1115	0	0	9	0	9	2284	0	2223	0	61	0	0	0	3399	0	2130	0	1259	0	0	0	0	0	10	0	0	0	0	0	 	0	0	0	0	3399	0	0	0	0	0	6	0	0	0	 	0	0	429	0	0	0	44	0	11	0	490	0	30	3468	0	3223	0	5004	0	4975	0	5004	0	836	0	733	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671	0	284	0	955	0	-9	0	0	0	0	-9	0	0	0	0	700	0	25	0	8	0	5	0	38	0	8	0	3849	0	267	1.0695652
101048048060000005800	101048048	FL	ORANGE COUNTY	ORANGE COUNTY	ORLANDO	32802	1	1	3105	0	4013	0	7118	0	0	0	-9	0	0	2666	0	391	0	46	0	2	0	3105	0	48	0	1072	0	0	0	1072	0	2033	0	0	9	0	9	0	9	3105	0	1509	0	1596	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	3105	0	12	0	3	0	53	0	0	0	 	0	0	117	0	0	0	247	0	27	0	459	0	11	3208	0	3097	0	4721	0	4105	0	4105	0	861	0	921	0	0	0	0	0	29	0	446	0	18	0	67	0	64	0	88	0	121	0	57	0	28	0	3	0	260	0	661	0	2	0	0	0	2250	0	0	0	1761	0	0	0	0	0	 	0	0	4013	0	2688	0	1319	0	4	0	2	0	4013	0	2252	0	1761	0	4013	0	1252	0	343	0	1595	0	-9	0	0	0	0	-9	0	0	0	0	106	0	26	0	27	0	18	0	6	0	2	0	0	0	4013	1.0695652
051037037060000002900	051037037	CA	SAN DIEGO COUNTY	SAN DIEGO COUNTY	SAN DIEGO	92193	1.1	1	5459	0	199	0	5658	0	456	0	1	7	0	4619	0	840	0	0	0	0	0	5459	0	0	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	5459	0	2062	1	1180	1	1957	1	34	1	134	1	88	1	0	0	Middle Eastern	4	1	0	0	5459	0	21	0	0	0	291	0	0	0	Fugative	10	0	4	0	0	0	38	0	0	0	364	0	17	5693	0	5274	0	4527	0	6211	0	4527	0	1875	0	1821	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	194	0	0	0	0	0	0	0	0	0	5	0	0	0	 	0	0	199	0	147	0	52	0	0	0	0	0	199	0	0	0	199	0	199	0	1029	0	717	0	1746	0	1	98	0	0	0	-9	0	0	0	0	1130	1	250	1	0	9	54	1	0	9	0	0	433	1	206	1
212004001060000008900	212004001	MD	BALTIMORE CITY	BALTIMORE CITY	Towson	21286	1	1	3502	1	31	1	3533	1	0	9	1	39	1	3164	1	301	1	35	1	2	1	3502	1	37	1	448	0	0	9	448	1	3054	0	3054	0	0	9	0	8	3502	1	315	1	3117	1	0	9	0	9	0	9	0	9	0	9	 	0	8	70	1	3502	1	0	1	0	1	0	1	0	1	 	0	8	448	1	0	1	0	0	0	0	448	0	30	3502	0	3506	0	4511	0	0	8	0	8	548	0	541	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	31	1	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	31	1	31	1	0	1	0	0	0	0	31	1	31	1	0	0	31	1	1212	0	172	0	1384	0	1	11	0	2	0	-9	0	0	0	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	70	1.0695652
051034034060000002600	051034034	CA	SACRAMENTO COUNTY	SACRAMENTO COUNTY	SACRAMENTO	95814	1.1	1	4088	0	218	0	4306	0	154	0	1	0	9	3643	0	433	0	12	0	0	0	4088	0	12	0	2832	0	1062	0	1770	0	1256	0	732	0	524	0	0	0	4088	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	 	0	9	0	9	4088	0	338	0	0	0	154	0	0	0	Border Patrol	171	0	125	0	0	0	0	0	0	0	788	0	4	4209	0	4741	0	4318	0	4790	0	4754	0	910	0	1304	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	218	0	0	8	0	8	0	8	0	8	0	8	0	8	 	0	8	218	0	218	0	0	8	0	8	0	8	218	0	218	0	0	0	218	0	148	0	78	0	226	0	1	3	0	0	0	-9	0	0	0	0	310	0	108	0	84	0	47	0	0	0	2	0	0	0	218	1
051001001060000001100	051001001	CA	ALAMEDA COUNTY	ALAMEDA COUNTY	Dublin	94568	1.1	1	3399	0	0	0	3399	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3453	0	4000	0	0	0	0	0	829	0	814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
291002002061000000000	291002002	NV	CLARK COUNTY	CLARK COUNTY DETENTION CENTER	LAS VEGAS	89101	1	1	3613	0	279	0	3892	0	270	0	1	5	0	2927	0	670	0	16	0	0	0	3613	0	16	0	1267	0	0	0	1267	0	2346	0	2217	0	129	0	0	0	3613	0	1491	0	1218	0	788	0	15	0	88	0	0	0	0	0	 	0	0	13	0	3613	0	21	0	0	0	225	0	0	0	 	0	0	97	0	2	0	0	0	0	0	345	0	17	4021	0	3412	0	3900	0	3848	0	3918	0	1149	0	1203	0	0	0	402	0	75	0	192	0	85	0	105	0	85	0	80	0	119	0	36	0	22	0	2	0	386	0	817	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	279	0	213	0	65	0	1	0	0	0	279	0	71	0	208	0	279	0	750	0	270	0	1020	0	1	40	0	3	0	-9	0	0	0	0	534	0	149	0	23	0	36	0	95	0	3	0	3908	0	284	1.0695652
051043042060000003300	051043042	CA	SANTA CLARA COUNTY	SANTA CLARA COUNTY	SAN JOSE	95110	1.1	1	4172	0	84	0	4256	0	0	9	1	705	0	3589	0	583	0	0	0	0	0	4172	0	0	0	1259	0	0	9	1259	0	2913	0	2913	0	0	9	0	0	4172	0	991	0	521	0	2287	0	10	0	291	0	10	0	0	0	ALL OTHERS	60	0	2	0	4172	0	110	0	0	0	0	0	0	0	Mental Health Contract Beds	3	0	283	0	0	0	1	0	0	0	397	0	30	4198	0	3816	0	3827	0	5284	0	5715	0	1052	0	827	1	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	0	0	0	20	0	7	0	0	0	0	0	0	0	Court Alternative Supervision	57	0	84	0	65	0	19	0	0	0	0	0	84	0	84	0	0	0	84	0	678	0	257	0	935	0	1	4	1	0	1	-9	0	0	0	0	349	1	0	9	0	9	0	9	0	9	0	0	0	0	789	1
431079079060100000000	431079079	TN	SHELBY COUNTY	SHELBY COUNTY DIVISION OF CORRECTIONS	Memphis	38134	1	1	2472	0	0	0	2472	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3102	0	3706	5	0	0	0	0	220	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0695652
111044044061000000000	111044044	GA	DEKALB COUNTY	DEKALB COUNTY JAIL	DECATUR	30032	1	1	2682	0	0	0	2682	0	0	9	-9	0	0	2280	0	402	0	0	0	0	0	2682	0	0	8	0	9	0	9	0	9	0	9	0	9	0	9	0	9	2682	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	 	0	9	0	9	2682	0	0	9	0	9	0	9	0	9	 	0	9	0	9	0	9	0	9	0	9	0	9	28	2682	0	2722	0	3636	0	3636	0	3800	0	746	0	682	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0	200	0	753	0	1	52	0	0	0	-9	0	0	0	0	938	0	0	9	0	9	0	9	0	9	0	9	0	0	0	1.0695652
051033033060000002500	051033033	CA	RIVERSIDE COUNTY	RIVERSIDE COUNTY	RIVERSIDE	92501	1.1	1	3892	1	2635	0	6527	0	327	0	-9	0	0	3417	1	475	1	0	8	0	8	3892	1	0	8	1019	1	0	9	0	9	2873	0	0	9	0	9	0	0	3892	1	1193	1	757	1	1854	1	24	1	12	1	6	1	0	8	 	0	0	46	1	3892	1	0	9	0	9	219	0	0	9	 	0	9	0	9	0	9	0	9	0	9	219	1	6	3953	0	3895	0	3623	0	3906	0	3906	0	1087	0	1065	0	15	0	210	0	63	0	171	0	147	0	80	0	180	0	12	0	156	0	7	0	23	0	1	0	584	0	481	0	397	0	0	0	2238	0	0	0	0	0	0	0	0	0	 	0	8	2635	0	0	9	0	9	0	0	0	0	2635	0	2635	0	0	0	2635	0	1220	0	205	0	1425	0	1	0	9	0	9	-9	0	0	0	0	821	0	189	0	29	0	87	0	7	0	1	0	0	9	2635	1
