RTIID	GID	JURISID	COUNTY	NAME	YEAR	CITY	STATE	ZIP	STATEFIPS	CNTYCODE	STRATUM	FINALWT	DESIGNWT	CLASS	STATUS	CONFPOP	CONFPOP_FLAG	NCONPOP	NCONPOP_FLAG	TOTPOP	TOTPOP_FLAG	WEEK	WEEKN	WEEKN_FLAG	NONCITZ	NONCITZ_FLAG	ADULTM	ADULTM_FLAG	ADULTF	ADULTF_FLAG	JUVM	JUVM_FLAG	JUVF	JUVF_FLAG	TOTGENDER	TOTGENDER_FLAG	ADLTJUV	ADLTJUV_FLAG	CONV	CONV_FLAG	UNCONV	UNCONV_FLAG	TOTCONVSTATUS	TOTCONVSTATUS_FLAG	FELONY	FELONY_FLAG	MISD	MISD_FLAG	OTHEROFFSPEC	OTHEROFF	OTHEROFF_FLAG	TOTOFF	TOTOFF_FLAG	WHITE	WHITE_FLAG	BLACK	BLACK_FLAG	HISP	HISP_FLAG	AIAN	AIAN_FLAG	ASIAN	ASIAN_FLAG	NHOPI	NHOPI_FLAG	TWORACE	TWORACE_FLAG	OTHERRACESPEC	OTHERRACE	OTHERRACE_FLAG	RACEDK	RACEDK_FLAG	RACETOTAL	RACETOTAL_FLAG	MARSHALS	MARSHALS_FLAG	BOP	BOP_FLAG	ICE	ICE_FLAG	BIA	BIA_FLAG	OTHERFEDSPEC	OTHERFED	OTHERFED_FLAG	INSTATEPRIS	INSTATEPRIS_FLAG	OUTSTATEPRIS	OUTSTATEPRIS_FLAG	TRIBAL	TRIBAL_FLAG	INSTATEJAIL	INSTATEJAIL_FLAG	OUTSTATEJAIL	OUTSTATEJAIL_FLAG	OTHERHOLDTOT	OTHERHOLDTOT_FLAG	PEAKDATE	PEAKPOP	PEAKPOP_FLAG	ADPM	ADPM_FLAG	ADPF	ADPF_FLAG	ADP	ADP_FLAG	RATED	RATED_FLAG	ADMISM	ADMISM_FLAG	ADMISF	ADMISF_FLAG	ADMIS	ADMIS_FLAG	RELEASEM	RELEASEM_FLAG	RELEASEF	RELEASEF_FLAG	RELEASE	RELEASE_FLAG	EMONITOR	EMONITOR_FLAG	HOMEDETN	HOMEDETN_FLAG	COMMSRV	COMMSRV_FLAG	DAYREPORT	DAYREPORT_FLAG	PRETRIAL	PRETRIAL_FLAG	ALTWORK	ALTWORK_FLAG	TREATMENT	TREATMENT_FLAG	OTRNONCONFSPEC	OTRNONCONF	OTRNONCONF_FLAG	NONCONFD	NONCONFD_FLAG	CORRSTAFF	CORRSTAFF_FLAG	CORRSTAFFM	CORRSTAFFM_FLAG	CORRSTAFFF	CORRSTAFFF_FLAG	OTHERSTAFF	OTHERSTAFF_FLAG	OTHERSTAFFM	OTHERSTAFFM_FLAG	OTHERSTAFFF	OTHERSTAFFF_FLAG	TOTALSTAFF	TOTALSTAFF_FLAG
10956043	011043043061000000000	011043043	LOWNDES COUNTY	LOWNDES COUNTY SHERIFFS OFFICE	2018	HAYNEVILLE	1	36040	01	01085	9	9.77586207	9	19	1	15	0	0	0	15	0	0	-9	-9	0	0	13	0	2	0	0	0	0	0	15	0	0	0	2	0	13	0	15	0	10	0	5	0	 	0	0	15	0	2	0	13	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	15	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	5	0	0	0	5	0	17	21	0	18	0	3	0	21	0	119	0	45	1	20	1	65	0	39	1	19	1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	13	0	6	0	7	0	2	0	1	0	1	0	15	0
10956045	011045045060000000200	011045045	LIMESTONE COUNTY, MADISON COUNTY	MADISON COUNTY SHERIFFS OFFICE	2018	HUNTSVILLE	1	35801	01	01089	1	1.06363636	1	8	1	936	0	0	0	936	0	1	0	0	17	1	862	0	73	0	1	0	0	0	936	0	1	0	48	1	888	1	936	0	507	1	429	1	 	0	0	936	0	438	0	460	0	33	0	0	0	4	0	0	0	1	0	 	0	0	0	0	936	0	0	0	0	0	17	0	0	0	 	0	0	133	0	0	0	0	0	0	0	0	0	150	0	27	974	0	822	1	89	1	911	0	1200	1	10591	1	4168	1	14759	0	10502	1	4120	1	14622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	55	1	40	1	15	1	16	1	9	1	7	1	71	0
10956050	011051051061000000000	011051051	MONTGOMERY COUNTY	MONTGOMERY COUNTY SHERIFFS OFFICE	2018	MONTGOMERY	1	36104	01	01101	7	1.40128886	1.27884614	17	1	559	0	0	0	559	0	1	1	0	111	0	525	0	34	0	0	0	0	0	559	0	0	0	97	0	462	0	559	0	419	0	16	0	Hold for Other/By Order of Court/USM/FBOP	124	0	559	0	110	0	429	0	20	0	0	0	0	0	0	0	0	0	 	0	0	0	0	559	0	37	0	16	0	1	0	0	0	Hold for Other	42	0	463	0	0	0	0	0	0	0	0	0	559	0	15	586	0	535	0	87	0	622	0	1290	0	3552	0	814	0	4366	0	3476	0	817	0	4293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	142	0	67	0	75	0	25	0	7	0	18	0	167	0
10956051	011052052061000000000	011052052	LIMESTONE COUNTY, MORGAN COUNTY	MORGAN COUNTY SHERIFFS OFFICE	2018	DECATUR	1	35601	01	01103	7	1.40128886	1.27884614	17	1	550	1	0	0	550	0	1	10	1	10	1	440	1	110	1	0	0	0	0	550	0	0	0	110	1	440	1	550	0	412	1	138	1	 	0	0	550	0	385	1	110	1	55	1	0	0	0	0	0	0	0	0	 	0	0	0	0	550	0	50	1	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	5	1	0	0	55	0	29	550	1	440	1	110	1	550	0	960	0	7520	1	1880	1	9400	0	7144	1	1786	1	8930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	110	1	60	1	50	1	20	1	15	1	5	1	130	0
10956056	011057057061000000000	011057057	LEE COUNTY, RUSSELL COUNTY	RUSSELL COUNTY SHERIFFS DEPARTMENT	2018	PHENIX CITY	1	36869	01	01113	2	2.79653669	2.71428561	13	1	282	0	0	0	282	0	1	7	0	1	0	244	0	37	0	1	0	0	0	282	0	1	0	56	0	226	0	282	0	131	0	151	0	 	0	0	282	0	112	0	164	0	6	0	0	0	0	0	0	0	0	0	 	0	0	0	0	282	0	0	0	0	0	1	0	0	0	 	0	0	28	0	0	0	0	0	6	0	12	0	47	0	23	287	0	228	0	41	0	269	0	540	0	3241	0	1139	0	4380	0	3000	0	1098	0	4098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	48	0	26	0	22	0	11	0	5	0	6	0	59	0
10956058	011059059061000000000	011059059	SHELBY COUNTY	SHELBY COUNTY SHERIFFS OFFICE	2018	COLUMBIANA	1	35051	01	01117	2	2.79653669	2.71428561	13	1	495	0	0	0	495	0	0	-9	-9	5	1	406	1	89	1	0	0	0	0	495	0	0	0	99	0	396	0	495	0	396	1	99	1	 	0	0	495	0	306	1	183	1	5	1	0	1	1	1	0	1	0	1	 	0	1	0	1	495	0	48	1	0	0	0	0	0	0	 	0	0	99	0	0	0	0	0	19	0	0	0	166	0	26	539	0	419	1	92	1	511	0	544	0	4624	1	1015	1	5639	0	4635	1	1018	1	5653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	70	0	60	0	10	0	3	0	3	0	0	0	73	0
10956060	011061061061000000000	011061061	TALLADEGA COUNTY	TALLADEGA COUNTY SHERIFFS OFFICE/JAIL	2018	TALLADEGA	1	35160	01	01121	7	1.40128886	1.27884614	17	1	228	0	0	0	228	0	0	-9	-9	0	0	194	0	34	0	0	0	0	0	228	0	0	0	35	1	193	0	228	0	160	1	68	1	 	0	0	228	0	120	1	104	1	4	1	0	1	0	1	0	1	0	1	 	0	1	0	1	228	0	0	1	0	1	0	1	0	1	 	0	1	4	1	0	1	0	1	0	1	0	1	4	0	6	252	1	215	1	50	1	265	0	386	1	3060	1	1130	1	4190	0	3080	1	1160	1	4240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	45	1	35	1	10	1	10	1	2	1	8	1	55	0
10956062	011063063061000000000	011063063	TUSCALOOSA COUNTY	TUSCALOOSA COUNTY SHERIFFS OFFICE	2018	TUSCALOOSA	1	35401	01	01125	1	1.06363636	1	8	1	610	0	0	0	610	0	1	10	0	1	0	540	0	70	0	0	0	0	0	610	0	0	0	110	1	500	1	610	0	480	0	130	0	 	0	0	610	0	238	0	368	0	4	0	0	0	0	0	0	0	0	0	 	0	0	0	0	610	0	2	0	0	0	1	0	0	0	 	0	0	490	0	2	0	0	0	0	0	2	0	497	0	30	610	0	510	0	68	0	578	0	540	0	7346	0	3235	0	10581	0	7580	0	3852	0	11432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	75	0	54	0	21	0	2	0	2	0	0	0	77	0
10956064	011065065061000000000	011065065	WASHINGTON COUNTY	WASHINGTON COUNTY SHERIFFS OFFICE	2018	CHATOM	1	36518	01	01129	7	1.40128886	1.27884614	17	1	42	0	0	0	42	0	1	2	0	0	0	30	0	12	0	0	0	0	0	42	0	0	0	9	3	33	3	42	0	18	3	24	3	 	0	3	42	0	22	0	17	0	0	0	3	0	0	0	0	0	0	0	 	0	0	0	0	42	0	0	0	0	0	0	0	0	0	 	0	0	9	3	0	3	0	3	0	3	0	3	9	3	5	43	0	30	0	10	0	40	0	59	0	685	3	274	3	959	3	91	3	46	3	137	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	13	0	12	0	1	0	7	0	3	0	4	0	20	0
10956069	012002005061000000000	012002005	BALDWIN COUNTY	CITY OF FOLEY POLICE DEPARTMENT	2018	FOLEY	1	36535	01	01003	9	9.77586207	9	19	1	37	1	0	1	37	0	1	1	1	2	1	31	1	6	1	0	1	0	1	37	0	0	0	14	1	23	1	37	0	0	1	37	1	 	0	1	37	0	28	1	7	1	2	1	0	1	0	1	0	1	0	1	 	0	1	0	1	37	0	0	1	0	1	0	1	0	1	 	0	1	37	1	0	1	0	1	0	1	0	1	37	0	10	47	1	30	1	5	1	35	0	55	1	2188	1	1242	1	3430	0	2163	0	1233	0	3396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	1	13	1	7	1	6	1	0	1	0	1	0	1	13	0
10956074	012008007061000000000	012008007	CALHOUN COUNTY, CHEROKEE COUNTY	PIEDMONT POLICE DEPARTMENT	2018	PIEDMONT	1	36272	01	01015	10	16.58679203	14.89999962	20	1	8	0	0	0	8	0	0	-9	-9	0	0	6	0	2	0	0	0	0	0	8	0	0	0	8	0	0	0	8	0	0	0	8	0	 	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	8	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	0	5	1	2	1	7	0	11	1	500	1	200	1	700	0	494	1	198	1	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	1	0	1	0	0	0	19	0	12	0	7	0	20	0
10956088	012037001061000000000	012037001	JEFFERSON COUNTY	CITY OF ADAMSVILLE JAIL	2018	ADAMSVILLE	1	35005	01	01073	10	16.58679203	14.89999962	20	1	3	0	0	0	3	0	0	-9	-9	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	3	0	 	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	3	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	11	0	1	1	1	1	2	0	30	0	500	1	220	1	720	0	499	1	219	1	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	10	1	2	1	8	1	0	0	0	0	0	0	10	0
10956109	012048005061000000000	012048005	MARSHALL COUNTY	GUNTERSVILLE POLICE DEPARTMENT	2018	GUNTERSVILLE	1	35976	01	01095	10	16.58679203	14.89999962	20	1	16	1	0	1	16	0	1	1	1	0	0	14	1	2	1	0	0	0	0	16	0	0	0	12	1	4	1	16	0	0	0	16	1	 	0	0	16	0	13	1	3	1	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	16	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	18	1	14	1	3	1	17	0	20	0	1000	1	423	1	1423	0	1065	1	345	1	1410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	1	4	1	4	1	0	1	1	1	1	1	0	1	5	0
10958902	012049601061000000000	012049601	MOBILE COUNTY	CREOLA POLICE DEPARTMENT	2018	CREOLA	1	36525	01	01097	1	1.33333333	1	12	1	2	0	0	0	2	0	0	-9	-9	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2	0	 	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	2	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	2	0	1	0	3	0	2	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	6	0	5	0	1	0	4	0	4	0	0	0	10	0
10956116	012051001061000000000	012051001	MONTGOMERY COUNTY	MONTGOMERY MUNICIPAL JAIL	2018	MONTGOMERY	1	36104	01	01101	7	1.40128886	1.27884614	17	1	147	1	15	1	162	0	1	0	0	14	1	128	1	19	0	0	1	0	1	147	0	0	0	84	1	63	1	147	0	63	1	84	1	 	0	0	147	0	22	1	110	1	14	1	0	0	0	0	0	0	0	0	 	0	0	1	0	147	0	63	1	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	63	0	13	165	1	130	1	23	1	153	0	272	1	5356	1	2255	1	7611	0	5306	1	2251	1	7557	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0	 	0	0	15	0	40	0	14	0	26	0	3	0	2	0	1	0	43	0
10956144	031003003061000000000	031003003	COCONINO COUNTY	COCONINO COUNTY SHERIFFS OFFICE	2018	FLAGSTAFF	3	86001	04	04005	7	1.40128886	1.27884614	17	1	442	0	0	0	442	0	0	-9	-9	-9	-9	374	3	61	3	7	3	0	3	442	0	7	3	44	3	398	3	442	0	146	3	296	3	 	0	3	442	0	167	3	14	3	0	3	256	3	0	3	0	3	0	3	 	0	3	5	3	442	0	28	3	5	3	0	3	0	3	 	0	3	43	3	0	3	0	3	10	3	5	3	91	3	-9	476	3	396	3	80	3	476	3	623	3	10400	3	2922	3	13322	3	10449	3	2090	3	12539	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	88	3	5	3	83	3	68	3	42	3	26	3	156	3
10950161	031007007060000000700	031007007	MARICOPA COUNTY	MARICOPA COUNTY SHERIFFS OFFICE	2018	PHOENIX	3	85003	04	04013	1	1.08870968	1	7	1	7495	0	0	0	7495	0	1	35	1	70	1	6204	0	1196	0	89	0	6	0	7495	0	95	0	1736	0	5759	0	7495	0	6467	0	791	0	Holds & Unknowns	237	0	7495	0	4573	0	1469	0	955	0	370	0	47	0	0	0	0	0	 	0	0	81	0	7495	0	1	0	7	0	0	0	0	0	 	0	0	111	0	0	0	5	0	42	0	1	0	167	0	10	7688	0	6366	0	1166	0	7532	0	10006	0	71905	0	24126	0	96031	0	71761	0	23346	0	95107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10956148	031008008061000000000	031008008	MOHAVE COUNTY	MOHAVE COUNTY SHERIFFS OFFICE	2018	KINGMAN	3	86401	04	04015	1	1.06363636	1	8	1	547	0	0	0	547	0	0	-9	-9	8	0	418	0	127	0	2	0	0	0	547	0	2	0	92	0	455	0	547	0	486	0	61	0	 	0	0	547	0	446	0	28	0	64	0	6	0	2	0	0	0	0	0	 	0	0	1	0	547	0	1	0	0	0	7	0	0	0	 	0	0	0	0	0	0	0	0	2	0	3	0	13	0	24	589	0	422	0	124	0	546	0	688	0	6136	0	2491	0	8627	0	6117	0	2463	0	8580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	100	0	80	0	20	0	25	0	5	0	20	0	125	0
10956149	031009009061000000000	031009009	NAVAJO COUNTY	NAVAJO COUNTY SHERIFFS OFFICE	2018	HOLBROOK	3	86025	04	04017	7	1.40128886	1.27884614	17	1	276	0	0	0	276	0	1	0	0	6	0	217	0	59	0	0	0	0	0	276	0	0	0	191	0	85	0	276	0	241	0	35	0	 	0	0	276	0	92	0	10	0	38	0	129	0	0	0	0	0	0	0	 	0	0	7	0	276	0	0	0	0	0	0	0	48	0	 	0	0	0	0	0	0	0	0	0	0	0	0	48	0	4	307	0	210	0	59	0	269	0	444	0	3779	0	1402	0	5181	0	5898	1	1905	1	7803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	36	0	29	0	7	0	33	0	6	0	27	0	69	0
